Logistics_ID,Payment_Method,Order_Channel,Delivery_Status
LOG-001,Nexus Card,In-Store,In-Store Pickup
LOG-002,bKash,In-Store,In-Store Pickup
LOG-003,Cash,Online Website,On-Time
LOG-004,Cash,In-Store,In-Store Pickup
LOG-005,Visa Card,Mobile App,Cancelled
LOG-006,bKash,Mobile App,Delayed
LOG-007,Visa Card,In-Store,In-Store Pickup
LOG-008,Cash,Online Website,Delayed
LOG-009,bKash,Facebook/Social Media,Cancelled
LOG-010,Upay,In-Store,In-Store Pickup
LOG-011,Cash,Phone Order,Delayed
LOG-012,bKash,Facebook/Social Media,On-Time
LOG-013,Cash,Facebook/Social Media,Delayed
LOG-014,MasterCard,In-Store,In-Store Pickup
LOG-015,Cash,Mobile App,Delayed
LOG-016,Cash,Facebook/Social Media,Returned
LOG-017,Upay,WhatsApp Order,On-Time
LOG-018,Dutch-Bangla MFS,Mobile App,On-Time
LOG-019,Nagad,Online Website,On-Time
LOG-020,Nexus Card,Online Website,On-Time
LOG-021,Cash,Phone Order,On-Time
LOG-022,Rocket,Agent/Reseller,On-Time
LOG-023,bKash,Online Website,Delayed
LOG-024,bKash,Facebook/Social Media,Delayed
LOG-025,Upay,Mobile App,On-Time
LOG-026,Nagad,Facebook/Social Media,On-Time
LOG-027,Nagad,In-Store,In-Store Pickup
LOG-028,Visa Card,Online Website,On-Time
LOG-029,Nagad,Mobile App,On-Time
LOG-030,Cash,Mobile App,On-Time
LOG-031,DBBL Nexus,In-Store,In-Store Pickup
LOG-032,bKash,Mobile App,On-Time
LOG-033,MasterCard,Facebook/Social Media,Returned
LOG-034,bKash,Online Website,On-Time
LOG-035,Nexus Card,Phone Order,On-Time
LOG-036,Rocket,Mobile App,Returned
LOG-037,Visa Card,Agent/Reseller,Cancelled
LOG-038,bKash,WhatsApp Order,On-Time
LOG-039,Bank Transfer,In-Store,In-Store Pickup
LOG-040,Nexus Card,Mobile App,On-Time
LOG-041,MasterCard,Facebook/Social Media,On-Time
LOG-042,Cash,WhatsApp Order,On-Time
LOG-043,Cash,Agent/Reseller,Delayed
LOG-044,bKash,Phone Order,On-Time
LOG-045,DBBL Nexus,Phone Order,On-Time
LOG-046,Visa Card,Mobile App,On-Time
LOG-047,Rocket,In-Store,In-Store Pickup
LOG-048,Bank Transfer,Online Website,On-Time
LOG-049,Cash,Facebook/Social Media,On-Time
LOG-050,MasterCard,Online Website,On-Time
LOG-051,Cheque,Facebook/Social Media,On-Time
LOG-052,Upay,Online Website,Delayed
LOG-053,Nexus Card,Facebook/Social Media,On-Time
LOG-054,Nagad,Phone Order,Delayed
LOG-055,Nagad,Online Website,Returned
LOG-056,Nagad,Mobile App,Delayed
LOG-057,Bank Transfer,Phone Order,On-Time
LOG-058,Nagad,Online Website,Cancelled
LOG-059,Upay,Agent/Reseller,Delayed
