Marketing_ID,Marketing_Channel,Campaign_Type
MKT-001,Word of Mouth,
MKT-002,Social Media,Loyalty Reward
MKT-003,SMS Marketing,Seasonal Discount
MKT-004,Referral,Ramadan Special
MKT-005,Newspaper,
MKT-006,SMS Marketing,Pohela Boishakh Sale
MKT-007,Social Media,Flash Sale
MKT-008,Email,Seasonal Discount
MKT-009,TV Advertisement,
MKT-010,SMS Marketing,Referral Bonus
MKT-011,TV Advertisement,Flash Sale
MKT-012,Referral,
MKT-013,Influencer,Loyalty Reward
MKT-014,SMS Marketing,
MKT-015,Social Media,
MKT-016,Influencer,
MKT-017,TV Advertisement,Seasonal Discount
MKT-018,SMS Marketing,Eid Festival Sale
MKT-019,Referral,Year-End Clearance
MKT-020,,
MKT-021,TV Advertisement,Eid Festival Sale
MKT-022,Email,New Customer Offer
MKT-023,Word of Mouth,Loyalty Reward
MKT-024,Social Media,New Customer Offer
MKT-025,Referral,New Customer Offer
MKT-026,Email,
MKT-027,Social Media,Ramadan Special
MKT-028,SMS Marketing,New Customer Offer
MKT-029,Word of Mouth,Eid Festival Sale
MKT-030,Email,Referral Bonus
MKT-031,Social Media,Eid Festival Sale
MKT-032,TV Advertisement,New Customer Offer
MKT-033,Referral,Eid Festival Sale
MKT-034,Email,Loyalty Reward
MKT-035,Social Media,Year-End Clearance
MKT-036,Word of Mouth,Seasonal Discount
MKT-037,,Year-End Clearance
MKT-038,Referral,Loyalty Reward
MKT-039,Email,Ramadan Special
MKT-040,Influencer,Seasonal Discount
MKT-041,Social Media,Seasonal Discount
MKT-042,SMS Marketing,Loyalty Reward
MKT-043,TV Advertisement,Referral Bonus
MKT-044,Social Media,Referral Bonus
MKT-045,Email,Eid Festival Sale
MKT-046,,Eid Festival Sale
MKT-047,SMS Marketing,Ramadan Special
MKT-048,,Referral Bonus
MKT-049,Referral,Flash Sale
MKT-050,Newspaper,Ramadan Special
MKT-051,TV Advertisement,Pohela Boishakh Sale
MKT-052,SMS Marketing,Flash Sale
MKT-053,Newspaper,Eid Festival Sale
MKT-054,Influencer,Ramadan Special
MKT-055,Newspaper,Flash Sale
MKT-056,TV Advertisement,Loyalty Reward
MKT-057,Social Media,Pohela Boishakh Sale
MKT-058,Referral,Seasonal Discount
MKT-059,Referral,Referral Bonus
MKT-060,Influencer,Eid Festival Sale
MKT-061,Referral,Pohela Boishakh Sale
MKT-062,Email,Year-End Clearance
MKT-063,Word of Mouth,Flash Sale
MKT-064,Word of Mouth,Referral Bonus
MKT-065,,Flash Sale
MKT-066,Newspaper,Loyalty Reward
MKT-067,Newspaper,Pohela Boishakh Sale
MKT-068,TV Advertisement,Ramadan Special
MKT-069,Email,Flash Sale
MKT-070,Influencer,Year-End Clearance
MKT-071,Influencer,Flash Sale
MKT-072,Influencer,New Customer Offer
MKT-073,Influencer,Referral Bonus
MKT-074,,Seasonal Discount
MKT-075,Word of Mouth,New Customer Offer
MKT-076,Word of Mouth,Pohela Boishakh Sale
MKT-077,Word of Mouth,Ramadan Special
MKT-078,,Loyalty Reward
MKT-079,Newspaper,Seasonal Discount
MKT-080,SMS Marketing,Year-End Clearance
MKT-081,Email,Pohela Boishakh Sale
MKT-082,Newspaper,Year-End Clearance
MKT-083,Newspaper,New Customer Offer
MKT-084,Influencer,Pohela Boishakh Sale
MKT-085,,Pohela Boishakh Sale
MKT-086,,New Customer Offer
MKT-087,Newspaper,Referral Bonus
MKT-088,TV Advertisement,Year-End Clearance
MKT-089,Word of Mouth,Year-End Clearance
MKT-090,,Ramadan Special
